Player,Age,PPG_NCAA,RPG_NCAA,APG_NCAA,SPG,BPG,TOPG,3PT,TS%
Zion Williamson,19,22.6,8.9,2.1,2.1,1.8,,3.38,
Ja Morant,19,24.5,5.7,10,1.8,0.8,5.2,0.363,0.612
RJ Barrett,19,22.6,7.6,4.3,0.9,0.4,3.2,1.9,0.532
De'Andre Hunter,21.5,12.2,4.3,1.6,0.6,0.5,1.2,0.9,0.601
Jarrett Culver,20.3,14.9,5.6,2.8,1.3,0.6,2.1,1.4,0.551
Cam Reddish,19.8,13.5,3.7,1.9,1.6,0.6,2.7,2.5,0.499
Nassir Little,19.3,9.8,4.6,0.7,0.5,0.5,1.3,0.4,0.549
Rui Hachimura,21.4,15.7,5.6,1.1,0.7,0.6,1.5,0.3,0.632
Romeo Langford,19.7,16.5,5.4,2.3,0.8,0.8,2.1,1.1,0.542
PJ Washington,20.8,13,6.6,1.7,0.8,1,2,0.5,0.576
Tyler Herro,19.4,14,4.5,2.5,1.1,0.3,1.6,1.6,0.58
Keldon Johnson,19.7,13.5,5.9,1.6,0.8,0.2,1.6,1.2,0.558
Kevin Porter,19.1,9.5,4,1.4,0.8,0.5,1.9,2.2,0.559
Cam Johnson,23.3,14.7,5.3,2.4,1,0.3,1.3,2.3,0.6
Nickeil Alexander-Walker,20.7,13.5,4,2.8,1.4,0.5,2.3,1.7,0.581
KZ Okpala,20.2,13.4,4.7,1.9,1,0.5,2.7,0.7,0.51
Ty Jerome,21.9,12.1,3.7,4.7,1.5,0,1.6,1.9,0.547
Lu Dort,20.2,16.1,4.3,2.3,1.5,0.2,2.9,1.6,0.518
Matisse Thybulle,22.3,10.2,3,2.4,3.2,1.8,2,1.5,0.548
Grant Williams,20.6,17,6.8,2.6,0.9,1.4,2.2,0.3,0.605
Talen Horton-Tucker,18.6,11.8,4.9,2.3,1.3,0.7,1.7,1.4,0.488
Admiral Schofield,22.2,15.2,6.2,1.8,0.9,0.5,1.9,1.9,0.558
Dylan Windler,22.7,19.3,10,1.6,1.2,0.8,2.3,2.6,0.675
Chuma Okeke,20.8,9.8,6.3,1.5,1.3,1,1.3,1.2,0.579
Terence Davis,22.1,14.5,6,2.8,1.3,0.7,2.6,1.9,0.533
DaQuan Jeffries,21.8,11.4,5.3,1.3,0.8,1.3,1.5,1.3,0.629
Zylan Cheatham,23.6,10.6,8.3,2.5,0.9,0.7,2.5,0.2,0.584
Louis King,20.2,13.5,5.5,1.3,0.9,0.2,2.1,1.9,0.552
Quinndary Weatherspoon,22.7,16.5,5.3,3,1.6,0.3,2.8,1.4,0.602
Miye Oni,21.9,16.1,6.1,3.6,0.9,1.1,2.7,1.9,0.497
Jaylen Hoard,20.2,13.1,7.7,1.5,0.6,0.6,2.5,0.4,0.519
Charles Matthews,22.6,12.6,5.2,1.9,0.9,0.5,1.8,0.9,0.523
Zach Norvell,21.5,13.8,4.1,1.2,1.2,0.1,1.5,2.4,0.592
John Konchar,22.5,17.2,8.3,5,2.3,0.8,2.2,1.8,0.609
Cody Martin,23.8,13.1,5.4,4.8,1.6,1.1,2,0.7,0.581
Terance Mann,22.7,12,6,2.5,0.8,0.3,1.8,0.6,0.604
Jordan Poole,20,9.5,2.2,1.4,0.8,0.2,1.1,1.6,0.578
Iggy Brazdeikis,20.5,14.8,5.4,0.8,0.7,0.5,1.2,1.5,0.573
Kris Wilkes,20.7,15.1,4.8,1.7,0.7,0.4,1.6,1.9,0.536
Justin James,22.4,20.5,7.3,3.8,1.3,0.6,3.4,1.5,0.538
Josh Reaves,21,10.6,5,3,2.4,0.8,2,1.4,0.552
Oshae Brissett,20,13.7,8.2,1.4,1.1,0.8,2,1.2,0.483
Jaylen Nowell,20,16.1,4.7,2.9,1.2,0.3,2.7,1.3,0.564
Tyus Battle,21.7,18.2,3.1,2.3,1.4,0.2,2.1,1.7,0.527
Amir Coffey,21,15.3,3.8,3.2,0.8,0.2,2.1,1.1,0.552
Kerwin Roach,22.7,13.5,4,3.4,1.4,0.3,2.4,1.6,0.538
